-;1;2;4;8;16;32
16384;0.395236( Desvio padrao: 0.00465408 );0.343023( Desvio padrao: 0.00220601 );0.314783( Desvio padrao: 0.00283363 );0.315458( Desvio padrao: 0.00392099 );0.353554( Desvio padrao: 0.002543 );0.415118( Desvio padrao: 0.00964938 )
32768;0.543488( Desvio padrao: 0.00323762 );0.415315( Desvio padrao: 0.00131987 );0.351536( Desvio padrao: 0.00212616 );0.331911( Desvio padrao: 0.00326452 );0.362725( Desvio padrao: 0.00579739 );0.421672( Desvio padrao: 0.0136702 )
65536;0.816885( Desvio padrao: 0.00609679 );0.562531( Desvio padrao: 0.00508713 );0.431524( Desvio padrao: 0.00469551 );0.381019( Desvio padrao: 0.00582751 );0.393301( Desvio padrao: 0.00915328 );0.45571( Desvio padrao: 0.0211617 )
131072;1.41679( Desvio padrao: 0.0197141 );0.860197( Desvio padrao: 0.00856403 );0.59709( Desvio padrao: 0.00481015 );0.472181( Desvio padrao: 0.0115212 );0.450049( Desvio padrao: 0.0196149 );0.505935( Desvio padrao: 0.018135 )
262144;2.56371( Desvio padrao: 0.0212366 );1.45955( Desvio padrao: 0.00382544 );0.90141( Desvio padrao: 0.00691848 );0.648916( Desvio padrao: 0.0095776 );0.544995( Desvio padrao: 0.00539476 );0.592515( Desvio padrao: 0.0179829 )
524288;4.93893( Desvio padrao: 0.0322993 );2.68115( Desvio padrao: 0.0221927 );1.54471( Desvio padrao: 0.0101851 );0.999654( Desvio padrao: 0.00855102 );0.764561( Desvio padrao: 0.0068813 );0.797307( Desvio padrao: 0.0444072 )
1048576;9.60212( Desvio padrao: 0.0782036 );5.12382( Desvio padrao: 0.0622246 );2.85051( Desvio padrao: 0.0374118 );1.75612( Desvio padrao: 0.014909 );1.20171( Desvio padrao: 0.00968193 );1.13033( Desvio padrao: 0.117361 )
