-;1;2;4;8;16;32
16384;0.266795( Desvio padrao: 0.00180926 );0.267255( Desvio padrao: 0.0012708 );0.276303( Desvio padrao: 0.00204524 );0.296216( Desvio padrao: 0.00291142 );0.342221( Desvio padrao: 0.00346774 );0.422096( Desvio padrao: 0.0107274 )
32768;1.36986( Desvio padrao: 0.00883521 );1.37716( Desvio padrao: 0.0085144 );0.844872( Desvio padrao: 0.00613918 );0.588337( Desvio padrao: 0.00739602 );0.491838( Desvio padrao: 0.00719749 );0.523651( Desvio padrao: 0.0172557 )
65536;3.56246( Desvio padrao: 0.0201999 );2.47782( Desvio padrao: 0.0402726 );1.40807( Desvio padrao: 0.0131726 );0.878957( Desvio padrao: 0.00795634 );0.643145( Desvio padrao: 0.0128689 );0.61284( Desvio padrao: 0.0425663 )
131072;8.11912( Desvio padrao: 0.103292 );4.77618( Desvio padrao: 0.0530283 );2.55775( Desvio padrao: 0.0235656 );1.46061( Desvio padrao: 0.00672063 );0.944( Desvio padrao: 0.0116683 );0.764663( Desvio padrao: 0.0664574 )
262144;17.1075( Desvio padrao: 0.177451 );9.26004( Desvio padrao: 0.0976919 );4.78583( Desvio padrao: 0.0286393 );2.60762( Desvio padrao: 0.0148454 );1.52852( Desvio padrao: 0.00784511 );1.19531( Desvio padrao: 0.176858 )
524288;34.85( Desvio padrao: 0.258289 );18.2776( Desvio padrao: 0.180496 );9.36071( Desvio padrao: 0.17451 );4.97504( Desvio padrao: 0.0301563 );2.75695( Desvio padrao: 0.0104446 );2.30718( Desvio padrao: 0.458834 )
1048576;69.855( Desvio padrao: 0.715627 );35.5329( Desvio padrao: 0.556293 );18.2113( Desvio padrao: 0.136836 );9.55558( Desvio padrao: 0.0948941 );5.1752( Desvio padrao: 0.0353773 );3.04939( Desvio padrao: 0.167232 )
