-;1;2;4;8;16;32
16384;0.269193;0.272571;0.283355;0.301269;0.346235;0.412295
32768;4.75695;4.83818;2.55384;1.4666;0.932476;0.729181
65536;13.3861;9.04025;4.71711;2.55597;1.50191;1.24244
131072;30.9109;17.7379;9.16954;4.83921;2.67117;1.74223
262144;66.8387;35.8024;18.3708;9.46837;5.04339;3.60183
524288;137.849;71.477;36.5129;18.8014;9.86571;5.49608
1048576;;;;;;
