-;1;2;4;8;16;32
16384;0.266661( Desvio padrao: 0.00250587 );0.264791( Desvio padrao: 0.0015193 );0.275236( Desvio padrao: 0.00269324 );0.291601( Desvio padrao: 0.00238085 );0.337293( Desvio padrao: 0.00557488 );0.411872( Desvio padrao: 0.0100651 )
32768;0.269917( Desvio padrao: 0.00355651 );0.271091( Desvio padrao: 0.00234188 );0.280128( Desvio padrao: 0.00469303 );0.299624( Desvio padrao: 0.00299745 );0.343022( Desvio padrao: 0.00420016 );0.415283( Desvio padrao: 0.0106745 )
65536;0.277026( Desvio padrao: 0.00298201 );0.27819( Desvio padrao: 0.00390511 );0.289025( Desvio padrao: 0.00308064 );0.307176( Desvio padrao: 0.00318407 );0.360063( Desvio padrao: 0.00533914 );0.42949( Desvio padrao: 0.0152326 )
131072;0.290193( Desvio padrao: 0.00176998 );0.292475( Desvio padrao: 0.00144757 );0.304419( Desvio padrao: 0.0027452 );0.321018( Desvio padrao: 0.00186295 );0.371553( Desvio padrao: 0.00634715 );0.440837( Desvio padrao: 0.00861874 )
262144;0.324153( Desvio padrao: 0.00220138 );0.325418( Desvio padrao: 0.00223355 );0.336295( Desvio padrao: 0.00188774 );0.357527( Desvio padrao: 0.00379035 );0.402073( Desvio padrao: 0.00734966 );0.468314( Desvio padrao: 0.0119862 )
524288;0.39253( Desvio padrao: 0.00458775 );0.395035( Desvio padrao: 0.00235094 );0.402261( Desvio padrao: 0.00280816 );0.424012( Desvio padrao: 0.00488535 );0.472093( Desvio padrao: 0.0064667 );0.543749( Desvio padrao: 0.0190848 )
1048576;0.520353( Desvio padrao: 0.00554553 );0.524389( Desvio padrao: 0.00337774 );0.53681( Desvio padrao: 0.00540557 );0.557422( Desvio padrao: 0.00502395 );0.603355( Desvio padrao: 0.00906818 );0.684864( Desvio padrao: 0.0233006 )
