0.00064985( Desvio padrao: 0.000123162 );0.00056895( Desvio padrao: 8.26991e-05 );0.00075165( Desvio padrao: 7.41669e-05 );0.0011682( Desvio padrao: 0.00011896 );0.001397( Desvio padrao: 0.000139292 );0.0020949( Desvio padrao: 0.000149587 )
0.732215( Desvio padrao: 0.0154487 );0.737332( Desvio padrao: 0.015774 );0.0137158( Desvio padrao: 0.000395326 );0.00081505( Desvio padrao: 8.93093e-05 );0.00114085( Desvio padrao: 0.000136397 );0.0021856( Desvio padrao: 0.00157094 )
256.613( Desvio padrao: 2.3739 );6.62609( Desvio padrao: 0.0798366 );6.66124( Desvio padrao: 0.142633 );1.16165( Desvio padrao: 0.0289583 );1.16631( Desvio padrao: 0.0192251 );1.1799( Desvio padrao: 0.0192426 )
