0.00151545( Desvio padrao: 6.48772e-05 );0.00087715( Desvio padrao: 0.000123386 );0.00098695( Desvio padrao: 9.44365e-05 );0.00126185( Desvio padrao: 0.000123659 );0.00163885( Desvio padrao: 0.000315003 );0.0026565( Desvio padrao: 0.000829066 )
0.108879( Desvio padrao: 0.00214875 );0.110205( Desvio padrao: 0.00225095 );0.111632( Desvio padrao: 0.00384319 );0.110582( Desvio padrao: 0.00187915 );0.113046( Desvio padrao: 0.00290102 );0.114705( Desvio padrao: 0.00431659 )
2.37236( Desvio padrao: 0.0663812 );0.0177265( Desvio padrao: 0.000541726 );0.018683( Desvio padrao: 0.00217517 );0.0183655( Desvio padrao: 0.00100994 );0.0190972( Desvio padrao: 0.00113656 );0.0220448( Desvio padrao: 0.00477431 )
