0.030309(desvio: 6.48772e-05);0.017543(desvio: 0.000123386);0.019739(desvio: 9.44365e-05);0.025237(desvio: 0.000123659);0.032777(desvio: 0.000315003);0.05313(desvio: 0.000829066)
2.17758(desvio: 0.00214875);2.2041(desvio: 0.00225095);2.23265(desvio: 0.00384319);2.21163(desvio: 0.00187915);2.26092(desvio: 0.00290102);2.2941(desvio: 0.00431659)
47.4471(desvio: 0.0663812);0.35453(desvio: 0.000541726);0.37366(desvio: 0.00217517);0.36731(desvio: 0.00100994);0.381945(desvio: 0.00113656);0.440895(desvio: 0.00477431)
